,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Ingredient name,PubChem CID,INCI name,INCI number,CAS Number,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Suitable for mature skin,Acne,Rosacea,Cystic Acne,Hyperpigmentation,Melasma,Xerosis,Dryness,Redness,Oiliness,Signs of Aging,Dark Spots,Sensitive skin,Dullness,Uneven skin tone,Wrinkles,Fine lines,Loss of Elasticity/firmness,Damaged skin,Visible pores,"Clogged pores, blackheads",Uneven texture,Eczema,Psoriasis,Dermatitis,Sunburned skin,Dark circles,Blemishes,Moisturizing,Nourishing,Hydrating,Exfoliating,Calming,Soothing,UV-barrier,Healing,Smoothing,Reduces acne,Reduces blemishes,Reduces wrinkles,Improves symptoms of eczema,Improves symptoms of psoriasis,Improves symptoms of dermatitis,Brightening,Improves skin tone,Reduces inflammation,Minimizes pores,Anti-aging,Firming,Detoxifying,Balancing,Reduces redness,Clarifying,Anti-bacterial,Stimulates collagen production,Reduces fine lines,Antioxidant Protection,Skin Barrier Protection,Teen,20s,30s,40s,50s,60+
Beeswax,1236793,Beeswax,232-383-7,8012-89-3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Borage Oil,9888617,Borage Oil,289-964-3,84012-16-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Calendula,5488456,Calendula,N/A,84776-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Chamomile,5281662,Chamomile,N/A,84082-60-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cocoa Butter,5362307,Cocoa Butter,232-289-0,8002-31-1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,5,5,5,4,3,2,3,2,1,1,0,0,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Coconut Oil,4468893,Coconut Oil,232-282-8,8001-31-8,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,5,5,5,4,3,2,3,2,1,1,0,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Ethylhexyl Palmitate,9861,Ethylhexyl Palmitate,203-860-9,29806-73-3,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Evening Primrose,9887922,Evening Primrose,289-859-2,90028-66-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Flaxseed Oil,73392,Linum Usitatissimum Seed Oil,232-278-6,8001-26-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Geranium,63725,Pelargonium Graveolens Flower Oil,304-455-9,8000-46-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3,0,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Ginger Root Essential Oil,8857,Zingiber Officinale (Ginger) Root Oil,283-634-2,8007-08-07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,0,3,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Lavender,11109,Lavandula Angustifolia (Lavender) Oil,289-995-2,8000-28-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Lemon Peel Essential Oil,72300,Citrus Limon (Lemon) Peel Oil,284-515-8,8008-56-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Lime Essential Oil,22311,Citrus Aurantifolia (Lime) Oil,285-366-1,8008-26-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Macadamia Nut Oil,26714,Macadamia Ternifolia Seed Oil,273-313-5,128497-20-1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
MSM,10975,Methylsulfonylmethane (MSM),200-665-9,67-71-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Oregon Grape,370,Mahonia Aquifolium Root Extract,N/A,84696-21-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Organic Gotu kola Horsetail (Centella asiatica),73434,Centella Asiatica Extract,N/A,84696-21-9,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Yes,Yes,Yes
Potassium Stearate,5280898,Potassium Stearate,208-525-2,593-29-3,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Rosehip,5281077,Rosa Canina Fruit Oil,283-652-0,84603-93-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Sodium Carbomer,9839257,Sodium Carbomer,N/A,76050-42-5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Tamanu,9831798,Calophyllum Inophyllum Seed Oil,277-896-7,231736-72-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Vitamin B5,8761,Panthenol,200-289-5,81-13-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Vitamin C,54670067,Ascorbic Acid,200-066-2,50-81-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,0,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Wild Geranium,9797458,Pelargonium Graveolens Flower Extract,N/A,90082-51-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Basil Leaf,5277098,Ocimum Basilicum Leaf Extract,283-900-8,84775-71-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Guava Leaf,10749,Psidium Guajava Leaf Extract,N/A,91770-79-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,No,No
Mint Leaf,5355829,Mentha Piperita (Peppermint) Leaf Extract,282-015-4,84082-70-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,No,No
"1, 2-Hexanediol 1",78353,"1, 2-Hexanediol",214-220-5,6920-22-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,4,3,2,1,0,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Disteardimonium Hectorite,37350,Disteardimonium Hectorite,277-256-6,97986-88-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Hydrolyzed Sodium Hyaluronate,6430867,Hydrolyzed Sodium Hyaluronate,N/A,9067-32-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Jojoba Esters,5363,Jojoba Esters,N/A,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Polyglyceryl-4 Isostearate,9855661,Polyglyceryl-4 Isostearate,N/A,107219-76-5,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Propanediol,3030,Propanediol,200-338-0,504-63-2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Pyrus Malus (Apple) Fruit Extract,16218410,Pyrus Malus (Apple) Fruit Extract,N/A,85251-63-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,0,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sodium Acetylated Hyaluronate,9984768,Sodium Acetylated Hyaluronate,N/A,9067-32-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sodium PCA,5282270,Sodium PCA,205-281-5,28874-51-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Trisodium Ethylenediamine Disuccinate,44136703,Trisodium Ethylenediamine Disuccinate,234-409-2,178949-82-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Aqua / Water,962,Aqua / Water,231-791-2,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Dicaprylyl Carbonate,8499,Dicaprylyl Carbonate,235-911-4,1680-31-5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cellulose,14055642,Cellulose,232-674-9,9004-34-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Passiflora Edulis Seed Oil,5315493,Passiflora Edulis Seed Oil,289-945-2,97676-26-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Pelargonium Graveolens Flower Oil,63725,Pelargonium Graveolens Flower Oil,304-455-9,8000-46-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3,0,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Rosa Damascena Flower Oil,10624775,Rosa Damascena Flower Oil,290-260-3,90106-38-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3,0,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Lavandula Angustifolia Oil / Lavender Oil,11109,Lavandula Angustifolia Oil / Lavender Oil,289-995-2,8000-28-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,4,3,2,1,0,0,5,5,4,4,3,2,Yes,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Lavandula Hybrida Oil,5363656,Lavandula Hybrida Oil,289-995-2,91722-69-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,4,3,2,1,0,0,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glycine Soja Oil / Soybean Oil,5361,Glycine Soja Oil / Soybean Oil,232-274-4,8001-22-7,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Coriandrum Sativum Seed Oil / Coriander Seed Oil,5295690,Coriandrum Sativum Seed Oil / Coriander Seed Oil,281-856-1,8008-52-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Simmondsia Chinensis Seed Oil / Jojoba Seed Oil*,24666,Simmondsia Chinensis Seed Oil / Jojoba Seed Oil,289-964-3,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Rosmarinus Officinalis Leaf Oil / Rosemary Leaf Oil,5318517,Rosmarinus Officinalis Leaf Oil / Rosemary Leaf Oil,283-291-9,8000-25-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
