,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Ingredient name,PubChem CID,INCI name,INCI number,CAS Number,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Suitable for mature skin,Acne,Rosacea,Cystic Acne,Hyperpigmentation,Melasma,Xerosis,Dryness,Redness,Oiliness,Signs of Aging,Dark Spots,Sensitive skin,Dullness,Uneven skin tone,Wrinkles,Fine lines,Loss of Elasticity/firmness,Damaged skin,Visible pores,"Clogged pores, blackheads",Uneven texture,Eczema,Psoriasis,Dermatitis,Sunburned skin,Dark circles,Blemishes,Moisturizing,Nourishing,Hydrating,Exfoliating,Calming,Soothing,UV-barrier,Healing,Smoothing,Reduces acne,Reduces blemishes,Reduces wrinkles,Improves symptoms of eczema,Improves symptoms of psoriasis,Improves symptoms of dermatitis,Brightening,Improves skin tone,Reduces inflammation,Minimizes pores,Anti-aging,Firming,Detoxifying,Balancing,Reduces redness,Clarifying,Anti-bacterial,Stimulates collagen production,Reduces fine lines,Antioxidant Protection,Skin Barrier Protection,Teen,20s,30s,40s,50s,60+
Linalool 100% Natural Fragrance - Parfum 100% Naturel,6549,Linalool,78-70-6,78-70-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,2,2,2,1,0,0,2,2,2,1,0,0,Yes,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Algae Extract,None,Algae Extract,92128-82-0,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,No,No,Yes,Yes,Yes,Yes
Apricot Oil,176871,Prunus Armeniaca (Apricot) Kernel Oil,72869-69-3,72869-69-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Avocado Butter,5280484,Persea Gratissima (Avocado) Butter,915831-44-4,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Bentonite,5350520,Bentonite,1302-78-9,1302-78-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butyrospermum Parkii (Shea) Butter,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Caprylic/Capric Triglyceride,5462308,Caprylic/Capric Triglyceride,73398-61-5,73398-61-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cetearyl Wheat Straw Glycosides,None,Cetearyl Wheat Straw Glycosides,84861-93-8,None,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Frankincese Essential Oil,None,Boswellia Carterii Oil,8016-36-2,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,3,3,3,3,2,1,0,0,3,3,2,1,0,0,Yes,1,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Jojoba Oil,,Simmondsia Chinensis (Jojoba) Seed Oil,90045-98-0,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,1,,,,,,1,,1,,,1,,,,,,,,,,,,,1,,,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
